datetime,temp, undefined
2018020119,3.4,  79.0
2018020120,2.7,  84.0
2018020121,2.2,  87.0
2018020122,2.8,  83.0
2018020123,3.1,  82.0
2018020200,2.9,  81.0
2018020201,3.1,  79.0
2018020202,3.1,  80.0
2018020203,3.2,  80.0
2018020204,3.0,  83.0
2018020205,3.0,  84.0
2018020206,3.0,  83.0
2018020207,3.0,  83.0
2018020208,2.9,  83.0
2018020209,3.3,  81.0
2018020210,3.6,  80.0
2018020211,3.8,  77.0
2018020212,3.7,  79.0
2018020213,4.0,  77.0
2018020214,3.9,  77.0
2018020215,3.9,  78.0
2018020216,3.8,  80.0
2018020217,3.5,  83.0
2018020218,2.8,  93.0
2018020219,2.7,  93.0
2018020220,2.6,  96.0
2018020221,2.4,  96.0
2018020222,3.2,  94.0
2018020223,3.3,  93.0
2018020300,3.4,  94.0
2018020301,2.7,  96.0
2018020302,2.1,  94.0
2018020303,0.6,  98.0
2018020304,0.0, 100.0
2018020305,-0.5,  95.0
2018020306,-0.7,  90.0
2018020307,-1.0,  86.0
2018020308,-1.3,  87.0
2018020309,-1.5,  84.0
2018020310,-1.4,  81.0
2018020311,-1.2,  77.0
2018020312,-0.8,  79.0
2018020313,-0.7,  70.0
2018020314,-0.4,  73.0
2018020315,-0.3,  75.0
2018020316,-0.4,  79.0
2018020317,-0.1,  76.0
2018020318,0.0,  77.0
2018020319,0.0,  67.0
2018020320,0.1,  65.0
2018020321,-0.1,  69.0
2018020322,-0.1,  73.0
2018020323,-0.3,  81.0
2018020400,-0.2,  86.0
2018020401,-0.8,  82.0
2018020402,-0.6,  81.0
2018020403,-0.7,  84.0
2018020404,-0.5,  81.0
2018020405,-0.4,  81.0
2018020406,-0.2,  83.0
2018020407,0.1,  84.0
2018020408,0.7,  91.0
2018020409,0.8,  96.0
2018020410,2.0,  91.0
2018020411,1.8,  94.0
2018020412,2.0,  94.0
2018020413,2.1,  93.0
2018020414,3.2,  84.0
2018020415,2.7,  88.0
2018020416,1.9,  91.0
2018020417,1.9,  89.0
2018020418,2.1,  85.0
2018020419,1.6,  87.0
2018020420,1.7,  85.0
2018020421,1.7,  81.0
2018020422,1.7,  83.0
2018020423,1.5,  82.0
2018020500,1.4,  78.0
2018020501,1.3,  77.0
2018020502,1.2,  75.0
2018020503,0.9,  78.0
2018020504,0.9,  77.0
2018020505,0.5,  82.0
2018020506,0.2,  81.0
2018020507,0.2,  73.0
2018020508,0.1,  71.0
2018020509,0.4,  68.0
2018020510,0.8,  68.0
2018020511,0.9,  66.0
2018020512,0.7,  66.0
2018020513,0.8,  68.0
2018020514,0.8,  72.0
2018020515,0.7,  70.0
2018020516,0.2,  72.0
2018020517,0.0,  74.0
2018020518,-0.6,  80.0
2018020519,-0.9,  81.0
2018020520,-1.1,  83.0
2018020521,-1.4,  84.0
2018020522,-1.0,  81.0
2018020523,-0.9,  73.0
2018020600,-1.7,  80.0
2018020601,-2.6,  90.0
2018020602,-2.7,  89.0
2018020603,-2.8,  91.0
2018020604,-3.1,  91.0
2018020605,-3.0,  90.0
2018020606,-2.9,  90.0
2018020607,-2.4,  86.0
2018020608,-2.7,  87.0
2018020609,-2.1,  85.0
2018020610,-1.5,  77.0
2018020611,-0.6,  64.0
2018020612,-0.2,  62.0
2018020613,-0.1,  58.0
2018020614,-0.4,  60.0
2018020615,-1.0,  63.0
2018020616,-1.3,  65.0
2018020617,-1.4,  65.0
2018020618,-1.9,  74.0
2018020619,-2.2,  78.0
2018020620,-2.2,  76.0
2018020621,-2.8,  77.0
2018020622,-3.3,  78.0
2018020623,-3.5,  81.0
2018020700,-4.0,  84.0
2018020701,-4.5,  88.0
2018020702,-4.5,  90.0
2018020703,-4.5,  89.0
2018020704,-4.8,  89.0
2018020705,-5.1,  91.0
2018020706,-5.1,  88.0
2018020707,-5.6,  91.0
2018020708,-4.5,  85.0
2018020709,-3.4,  78.0
2018020710,-1.6,  69.0
2018020711,-0.8,  60.0
2018020712,-0.5,  53.0
2018020713,-0.8,  57.0
2018020714,-0.9,  57.0
2018020715,-1.1,  58.0
2018020716,-1.1,  60.0
2018020717,-1.5,  65.0
2018020718,-1.6,  66.0
2018020719,-2.4,  72.0
2018020720,-2.6,  72.0
2018020721,-2.8,  72.0
2018020722,-3.5,  84.0
2018020723,-3.6,  80.0
2018020800,-3.6,  75.0
2018020801,-4.1,  77.0
2018020802,-3.8,  76.0
2018020803,-4.1,  79.0
2018020804,-4.4,  80.0
2018020805,-4.0,  76.0
2018020806,-4.7,  79.0
2018020807,-4.3,  79.0
2018020808,-4.0,  82.0
2018020809,-2.9,  77.0
2018020810,-0.2,  69.0
2018020811,0.2,  64.0
2018020812,1.0,  60.0
2018020813,1.2,  62.0
2018020814,1.1,  63.0
2018020815,0.2,  72.0
2018020816,0.7,  59.0
2018020817,-0.5,  67.0
2018020818,-1.1,  74.0
2018020819,-1.4,  74.0
2018020820,-1.6,  71.0
2018020821,-1.9,  72.0
2018020822,-2.5,  76.0
2018020823,-2.9,  77.0
2018020900,-3.1,  77.0
2018020901,-3.7,  79.0
2018020902,-4.4,  80.0
2018020903,-4.6,  82.0
2018020904,-4.9,  81.0
2018020905,-4.8,  81.0
2018020906,-5.2,  81.0
2018020907,-5.2,  82.0
2018020908,-5.0,  83.0
2018020909,-4.0,  79.0
2018020910,-2.3,  72.0
2018020911,-1.0,  72.0
2018020912,0.0,  67.0
2018020913,0.4,  64.0
2018020914,0.2,  64.0
2018020915,0.1,  65.0
2018020916,-0.5,  71.0
2018020917,-1.4,  75.0
2018020918,-2.0,  77.0
2018020919,-2.2,  78.0
2018020920,-2.6,  81.0
2018020921,-3.1,  83.0
2018020922,-3.1,  84.0
2018020923,-3.0,  84.0
2018021000,-3.4,  85.0
2018021001,-3.7,  86.0
2018021002,-3.6,  86.0
2018021003,-3.0,  86.0
2018021004,-2.7,  84.0
2018021005,-2.5,  86.0
2018021006,-2.3,  85.0
2018021007,-2.3,  85.0
2018021008,-2.0,  86.0
2018021009,-1.8,  85.0
2018021010,-0.5,  82.0
2018021011,0.2,  79.0
2018021012,1.1,  75.0
2018021013,1.3,  71.0
2018021014,1.4,  72.0
2018021015,1.3,  74.0
2018021016,1.0,  78.0
2018021017,0.5,  80.0
2018021018,-0.4,  85.0
2018021019,-0.9,  91.0
